departement,communes ,habitants,mise_en_commun_agent_municipal_commune ,agents_police,asvp,gardes_champetres,maitre_chien,chien_police,commune-brigade_cynophile
6,NICE,351227,0,411,158,0,6,6,1
6,OPIO,2475,0,2,0,0,0,0,0
6,PEGOMAS,8000,0,6,3,0,0,0,0
6,PEYMEINADE,8400,0,7,0,0,0,0,0
6,ROQUEBRUNE CAP MARTIN,12371,0,19,11,0,0,0,0
6,ROQUEFORT-LES-PINS,7276,1,6,1,0,0,0,0
6,SAINT ANDRE DE LA ROCHE,5782,0,4,0,0,0,0,0
6,SAINT-CEZAIRE-SUR-SIAGNE,4027,0,1,1,0,0,0,0
6,SAINT-JEAN-CAP-FERRAT,1500,1,7,1,0,0,0,0
6,SAINT JEANNET,4317,0,4,2,0,0,0,0
6,SAINT-LAURENT-DU-VAR,31000,0,41,9,0,1,1,1
6,SAINT-PAUL DE VENCE,3271,0,6,1,0,0,0,0
6,SAINT-VALLIER-DE-THIEY,3761,1,0,0,2,0,0,0
6,SOSPEL,4000,0,1,0,0,0,0,0
6,SPERACEDES,1200,0,0,1,0,0,0,0
6,TENDE,2080,0,2,0,0,0,0,0
6,THEOULE-SUR-MER,1500,0,5,0,1,0,0,0
6,TOURRETTE-LEVENS,5000,0,2,0,0,29,0,1
6,TOURRETTES-SUR-LOUP,4200,0,2,1,1,0,0,0
6,VALBONNE,14040,0,16,4,0,2,1,1
6,VALLAURIS GOLFE JUAN,27970,0,37,4,0,0,0,0
6,VENCE,19678,0,22,4,0,0,0,0
6,VILLEFRANCHE SUR MER,5000,1,13,4,0,0,0,0
6,VILLENEUVE-LOUBET,17000,0,30,8,0,0,0,0
7,ALBA LA ROMAINE,1499,0,0,1,0,0,0,0
7,ANDANCE,1228,0,0,1,0,0,0,0
7,ANNONAY,16920,0,9,3,1,0,0,0
7,AUBENAS,13255,0,8,2,0,0,0,0
7,BALAZUC,380,0,0,3,0,0,0,0
7,BEAUCHASTEL,1874,1,1,0,0,0,0,0
7,BOURG SAINT ANDEOL,7352,0,4,0,0,0,0,0
7,CHARMES SUR RHONE,3053,1,1,0,0,0,0,0
7,LE CHEYLARD,3033,0,1,0,0,0,0,0
7,CHOMÉRAC,3188,0,0,0,1,0,0,0
7,CRUAS,3129,0,1,0,0,0,0,0
7,GUILHERAND-GRANGES,10977,1,6,0,0,0,0,0
7,JOYEUSE,1780,0,2,1,0,0,0,0
7,LABEGUDE,1380,1,1,1,0,0,0,0
7,LABLACHÈRE,1780,0,0,1,0,0,0,0
7,LE LAC D'ISSARLES,260,0,0,1,0,0,0,0
7,LE POUZIN,2918,0,2,0,0,0,0,0
7,PRIVAS,8747,0,5,0,0,0,0,0
7,SAINT LAURENT DU PAPE,1624,0,0,1,0,0,0,0
7,SAINT MARCEL D'ARDECHE,2449,0,0,1,0,0,0,0
7,SAINT MARTIN D'ARDECHE,961,1,1,0,0,0,0,0
7,SAINT-PERAY,7799,1,3,0,0,0,0,0
7,SARRAS,2263,0,0,1,0,0,0,0
7,LE TEIL,9043,0,4,0,0,0,0,0
7,THUEYTS,1241,0,0,1,0,0,0,0
7,TOURNON-SUR-RHONE,11137,0,5,2,0,0,0,0
7,VALLON PONT D ARC,2451,0,1,4,0,0,0,0
7,VALS LES BAINS,3595,1,1,1,0,0,0,0
7,LES VANS,2713,0,2,2,0,0,0,0
7,VIVIERS,3755,0,2,0,0,0,0,0
7,VOGÜÉ,1122,0,0,2,0,0,0,0
7,LA VOULTE SUR RHONE,4906,0,3,0,0,0,0,0
7,CC DES GORGES DE L'ARDÈCHE,15713,1,3,3,0,0,0,0
8,Ardenne Métropole (EPCI),5795,1,1,0,0,0,0,0
8,Ardennes Thiérache (EPCI),7000,1,2,0,0,0,0,0
8,Bazeilles,2654,0,1,0,0,0,0,0
8,Bogny-sur-Meuse,5200,0,2,2,0,0,0,0
8,CHARLEVILLE-MÉZIERES,47847,0,36,8,0,0,0,0
8,Chooz,854,1,2,0,0,0,0,0
8,Donchery,2000,0,1,0,0,0,0,0
8,Floing,2326,0,1,0,0,0,0,0
8,Fromelennes,1046,0,1,1,0,0,0,0
8,Fumay,3198,0,3,0,0,0,0,0
8,Givet,6487,0,3,1,0,0,0,0
8,La Francheville,1680,0,1,0,0,0,0,0
8,Monthermé,2300,0,1,0,0,0,0,0
8,Mouzon,2273,0,1,0,0,0,0,0
8,Nouzonville,5600,0,5,0,0,0,0,0
8,Rethel,7425,0,5,0,0,0,0,0
8,Revin,5815,1,5,0,0,0,0,0
8,Rimogne,1300,0,1,0,0,0,0,0
8,Sedan,16941,0,10,2,0,0,0,0
8,Vireux Wallerand,1994,0,1,0,0,0,0,0
8,Vivier-au-Court,2400,1,2,0,0,0,0,0
8,Vouziers,4169,0,2,0,0,0,0,0
8,Vrigne-aux-Bois,3556,0,2,0,0,0,0,0
9,Ax-les-Thermes,1288,0,2,1,0,0,0,0
9,Bélesta,1082,0,0,1,0,0,0,0
9,Daumazan-sur-Arize,750,0,0,0,0,0,0,0
9,FOIX,9601,0,5,1,0,0,0,0
9,La Bastide-de-Sérou,961,0,0,1,0,0,0,0
9,La Tour-du-Crieu,3232,0,0,1,0,0,0,0
9,Laroque d’Olmes,2486,0,1,0,0,0,0,0
9,Lavelanet,6305,0,2,2,0,0,0,0
9,Massat,733,0,0,0,1,0,0,0
9,Mazères,3955,0,2,0,0,0,0,0
9,Mirepoix,3300,0,3,1,0,0,0,0
9,Montaut,700,0,0,0,1,0,0,0
9,Montbel,101,0,0,1,0,0,0,0
9,Pamiers,15000,0,8,1,0,0,0,0
9,Saint-Girons,6800,0,4,0,0,0,0,0
9,Saint-Jean-du-Falga,2914,0,0,0,1,0,0,0
9,Saint-Lizier,1388,0,0,0,1,0,0,0
9,Saint-Quirc,380,0,0,0,1,0,0,0
9,Saverdun,5000,0,2,0,0,0,0,0
9,Tarascon-sur-Ariège,3076,0,1,0,0,0,0,0
9,Varilhes,3495,0,1,0,0,0,0,0
10,Aix-Villemaur-Pâlis,3770,0,0,2,0,0,0,0
10,Arcis-sur-Aube (pluricommunale),2822,1,2,1,0,0,0,0
10,Bar-sur-Aube,4753,0,2,1,1,0,0,0
10,Bar-sur-Seine,3200,0,2,0,0,0,0,0
10,Bréviandes (mutualisation),2933,1,1,0,0,0,0,0
10,Brienne-le-Château,2779,0,2,0,0,0,0,0
10,Creney-près-Troyes,1783,0,0,0,1,0,0,0
10,La Chapelle-Saint-Luc,12006,0,9,0,0,1,1,1
10,La Rivière-de-Corps,3716,0,1,1,0,0,0,0
10,Le Chêne (pluricommunale),315,1,0,0,0,0,0,0
10,Les Noës-près-Troyes,3282,0,3,0,0,0,0,0
10,Nogent-sur-Seine,5965,0,7,3,0,0,0,0
10,Nozay (pluricommunale),145,1,0,0,0,0,0,0
10,Ormes (pluricommunale),193,1,0,0,0,0,0,0
10,Pont-sainte-Marie,5146,1,2,1,0,0,0,0
10,Romilly-sur-Seine,14493,0,10,0,0,0,0,0
10,Rosières-près-Troyes,4633,1,1,0,0,0,0,0
10,Saint-André-les-Vergers,12952,0,4,0,0,0,0,0
10,Saint-Julien-les-Villas,6738,1,4,0,0,0,0,0
10,Saint-Lyé,2870,0,1,0,0,0,0,0
10,Saint-Parres-aux-Tertres (Mutualisation),3179,1,1,1,0,0,0,0
10,Sainte Savine,10496,0,6,0,0,0,0,0
10,TROYES,60928,0,50,6,3,0,0,0
10,Vendeuvre-sur-Barse,2352,0,1,1,0,0,0,0
10,Villenauxe-la-Grande,2645,0,0,1,0,0,0,0
11,AIGUES-VIVES,580,0,2,0,0,0,0,0
11,ARGELIERS,2300,1,2,0,0,0,0,0
11,ARGENS MINERVOIS,361,0,0,1,0,0,0,0
11,ARMISSAN,1517,0,1,0,0,0,0,0
11,BIZE-MINERVOIS,1258,0,0,0,1,0,0,0
11,BRAM,3309,0,2,0,0,0,0,0
11,CANET,1900,1,1,0,0,0,0,0
11,CARCASSONNE,47000,0,38,12,0,1,1,1
11,CARCASSONNE AGGLO EPCI,113933,0,1,0,0,0,0,0
11,CASTELNAU-D AUDE,510,1,1,0,0,0,0,0
11,CASTELNAUDARY,12894,0,5,0,0,0,0,0
11,CAUNES-MINERVOIS,1651,0,1,1,0,0,0,0
11,CAUNES-MINERVOIS,1650,0,1,1,0,0,0,0
11,CAZILHAC,1643,0,1,0,0,0,0,0
11,CONILHAC-CORBIERES,900,1,1,0,0,0,0,0
11,CONQUES SUR ORBIEL,2600,0,2,0,0,0,0,0
11,COUIZA,1122,0,0,1,1,0,0,0
11,COURSAN,6000,1,4,1,0,0,0,0
11,CRUSCADES,934,0,0,0,0,0,0,0
11,CUXAC-D AUDE,4000,0,4,1,0,0,0,0
11,DOUZENS,750,1,1,0,0,0,0,0
11,DURBAN-CORBIERES,678,0,1,0,0,0,0,0
11,ESPERAZA,1800,0,2,0,0,0,0,0
11,FERRALS-LES-CORBIERES,1288,1,1,0,0,0,0,0
11,FLEURY,3896,0,8,1,0,0,0,0
11,GINESTAS,1500,1,1,0,0,0,0,0
11,GRUISSAN,5000,0,13,3,0,0,0,0
11,LA REDORTE,1263,0,2,0,0,0,0,0
11,LAGRASSE,541,0,0,3,0,0,0,0
11,LAVALETTE,1532,0,0,0,0,0,0,0
11,LEUCATE,4550,0,12,0,0,0,0,0
11,LEZIGNAN-CORBIERES,12500,0,15,2,0,0,0,0
11,LUC-SUR-ORBIEU,1180,1,1,0,1,0,0,0
11,MARCORIGNAN,1331,0,1,0,0,0,0,0
11,MONTCLAR,180,0,0,0,0,0,0,0
11,MONTOLIEU,844,0,0,2,0,0,0,0
11,MONTREAL,2251,0,0,0,1,0,0,0
11,MONTREDON-DES-CORBIERES,1500,1,3,0,0,0,0,0
11,MOUSSAN,2145,0,1,0,0,0,0,0
11,NARBONNE,56123,0,58,9,0,0,0,0
11,PALAJA,2800,0,1,0,0,0,0,0
11,PARAZA,712,0,0,1,0,0,0,0
11,PENNAUTIER,2754,0,2,0,0,0,0,0
11,PEPIEUX,1096,0,2,0,0,0,0,0
11,PEYRIAC-DE-MER,1188,0,1,0,0,0,0,0
11,PEYRIAC-MINERVOIS,1186,1,2,0,0,0,0,0
11,PEZENS,1850,0,1,0,0,0,0,0
11,PORT-LA-NOUVELLE,5900,0,9,0,0,0,0,0
11,PORTEL-DES-CORBIERES,1300,0,0,1,0,0,0,0
11,PREIXAN,639,0,0,0,0,0,0,0
11,PUICHERIC,1206,0,0,0,1,0,0,0
11,QUILLAN,3400,0,2,0,0,0,0,0
11,RENNES-LES-BAINS,212,0,0,1,0,0,0,0
11,RIEUX-MINERVOIS,2000,1,1,1,0,0,0,0
11,SAINT-COUAT D AUDE,385,0,0,0,1,0,0,0
11,SAINT-NAZAIRE-D AUDE,2200,1,1,1,0,0,0,0
11,SAISSAC,955,0,0,2,0,0,0,0
11,SALLELES-D'AUDE,3200,0,4,1,0,0,0,0
11,SALLES-D AUDE,3300,0,3,0,0,0,0,0
11,SIGEAN,5641,0,5,1,0,0,0,0
11,TREBES,5600,0,6,0,0,0,0,0
11,VAL-DU-FABY,596,0,0,1,0,0,0,0
11,VENTENAC-EN-MINERVOIS,590,0,0,1,0,0,0,0
11,VILLEGAILHENC,1722,1,1,0,0,0,0,0
11,VILLEMOUSTAUSSOU,4500,1,3,0,0,0,0,0
11,VILLESEQUE-DES-CORBIERES,371,1,1,0,0,0,0,0
11,VINASSAN,2700,1,2,0,0,0,0,0
12,Capdenac,1097,0,1,0,0,0,0,0
12,Decazeville,5521,0,1,1,0,0,0,0
12,Espalion,4545,0,1,1,0,0,0,0
12,Millau,22234,0,12,4,0,0,0,0
12,Onet le Château,11944,0,8,0,0,0,0,0
12,RODEZ,23949,0,11,6,0,0,0,0
12,Saint-Affrique,8236,0,2,1,0,0,0,0
12,Villefranche de Rouergue,11892,0,7,2,0,0,0,0
13,AIX-EN-PROVENCE,143097,0,120,52,0,5,5,1
13,ALLAUCH,20860,0,20,7,0,0,0,0
13,ALLEINS,2516,0,2,1,0,0,0,0
13,ARLES,51031,0,38,12,2,0,0,0
13,AUBAGNE,47208,0,60,26,0,2,2,1
13,AURIOL,12990,0,11,0,0,0,0,0
13,BARBENTANE,4500,0,2,0,0,0,0,0
13,LES BAUX-DE-PROVENCE,293,0,1,2,0,0,0,0
13,BELCODENE,1950,0,1,0,0,0,0,0
13,BERRE L'ETANG,13983,0,22,4,0,0,0,0
13,BOUC-BEL-AIR,15520,0,11,0,0,0,0,0
13,LA BOUILLADISSE,6400,0,5,0,0,0,0,0
13,BOULBON,1510,0,1,0,0,0,0,0
13,CABANNES,4500,0,3,1,0,0,0,0
13,CABRIES,10500,0,6,2,2,0,0,0
13,CADOLIVE,2200,0,1,0,0,0,0,0
13,CARNOUX-EN-PROVENCE,6800,0,4,0,0,0,0,0
13,CARRY-LE-ROUET,5895,0,9,0,0,0,0,0
13,CASSIS,6800,0,23,15,0,0,0,0
13,CEYRESTE,4800,0,3,0,0,0,0,0
13,CHARLEVAL,2700,0,1,0,1,0,0,0
13,CHATEAUNEUF-LES-MARTIGUES,20000,0,29,6,0,0,0,0
13,CHATEAURENARD,16500,0,12,8,0,0,0,0
13,LA CIOTAT,36800,0,48,15,0,2,2,1
13,CORNILLON-CONFOUX,1520,0,1,0,0,0,0,0
13,COUDOUX,3702,0,5,0,0,0,0,0
13,CUGES-LES-PINS,6103,0,3,1,0,0,0,0
13,LA DESTROUSSE,3850,0,2,0,0,0,0,0
13,EGUILLES,8400,0,7,0,0,0,0,0
13,ENSUES-LA-REDONNE,5850,0,6,0,0,0,0,0
13,EYGALIERES,1730,0,1,1,0,0,0,0
13,EYGUIERES,6844,0,4,1,0,0,0,0
13,EYRAGUES,4500,0,2,0,0,0,0,0
13,LA FARE-LES-OLIVIERS,8848,0,4,2,0,0,0,0
13,FONTVIEILLE,3544,0,2,1,0,0,0,0
13,FOS-SUR-MER,15350,0,39,2,0,0,0,0
13,FUVEAU,10351,0,9,1,0,0,0,0
13,GARDANNE,22000,0,21,2,0,0,0,0
13,GEMENOS,6983,0,7,0,0,0,0,0
13,GIGNAC-LA-NERTHE,9977,0,13,2,0,0,0,0
13,GRANS,5280,0,10,0,0,0,0,0
13,GRAVESON,4930,0,3,0,1,0,0,0
13,GREASQUE,4361,0,1,2,0,0,0,0
13,ISTRES,45119,0,57,18,0,0,0,0
13,JOUQUES,4504,0,2,0,0,0,0,0
13,LAMANON,2085,0,1,1,0,0,0,0
